bookTitle,authorName,average_rating,num_ratings
Brave New World / Brave New World Revisited,Aldous Huxley,4.16,"165,367"
"The Spy Who Came In from the Cold (George Smiley, #3)",John le Carré,4.08,"110,407"
"Nightshade (Nightshade, #1; Nightshade World, #4)",Andrea Cremer,4.01,"83,390"
"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,4.40,"124,410"
The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,4.20,"94,989"
Till We Have Faces,C.S. Lewis,4.19,"70,351"
The Forty Rules of Love,Elif Shafak,4.13,"177,599"
"Rules of Attraction (Perfect Chemistry, #2)",Simone Elkeles,4.18,"88,002"
"To Live and Die in Fantasyland (To Live, #3)",Ben Peller,4.33,101
The Tin Drum,Günter Grass,3.95,"44,138"
"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,4.12,"103,591"
Chronicle of a Death Foretold,Gabriel García Márquez,3.97,"194,492"
A Town Like Alice,Nevil Shute,4.15,"58,110"
"Evernight (Evernight, #1)",Claudia Gray,3.65,"80,572"
"Pretty Little Liars (Pretty Little Liars, #1)",Sara Shepard,3.85,"204,106"
"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,4.17,"233,778"
"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,4.54,"489,969"
Notes from Underground,Fyodor Dostoevsky,4.18,"162,195"
Twenty Love Poems and a Song of Despair,Pablo Neruda,4.22,"72,699"
"Origin (Lux, #4)",Jennifer L. Armentrout,4.33,"112,743"
For One More Day,Mitch Albom,4.12,"148,336"
The Tenant of Wildfell Hall,Anne Brontë,4.01,"116,324"
"School's Out—Forever (Maximum Ride, #2)",James Patterson,4.14,"121,222"
"Tropic of Cancer (Tropic, #1)",Henry Miller,3.66,"72,478"
"Awakened (House of Night, #8)",P.C. Cast,4.00,"138,125"
"On Dublin Street (On Dublin Street, #1)",Samantha Young,4.16,"198,737"
Beach Read,Emily Henry,4.01,"1,118,788"
Lust for Life,Irving Stone,4.26,"28,943"
"Fall of Giants (The Century Trilogy, #1)",Ken Follett,4.31,"323,780"
"Saving the World and Other Extreme Sports (Maximum Ride, #3)",James Patterson,4.14,"94,456"
"The Valley of Horses (Earth's Children, #2)",Jean M. Auel,4.03,"89,782"
The Pelican Brief,John Grisham,4.05,"429,264"
Fall on Your Knees,Ann-Marie MacDonald,3.97,"66,335"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.20,"2,547,108"
"The Iron Daughter (The Iron Fey, #2)",Julie Kagawa,4.07,"126,772"
"Half-Blood (Covenant, #1)",Jennifer L. Armentrout,4.10,"103,774"
When Breath Becomes Air,Paul Kalanithi,4.40,"671,829"
Tales of H.P. Lovecraft,H.P. Lovecraft,4.23,"9,361"
Empire Falls,Richard Russo,3.94,"121,902"
Out of My Mind (The Out of My Mind Series),Sharon M. Draper,4.35,"161,052"
"Bloodfever (Fever, #2)",Karen Marie Moning,4.25,"108,875"
"The False Prince (Ascendance, #1)",Jennifer A. Nielsen,4.23,"96,609"
Solaris,Stanisław Lem,3.99,"108,168"
Scavenger Hunt,Chad Boudreaux,4.30,"7,105"
"Girl, Interrupted",Susanna Kaysen,3.93,"244,998"
"This Present Darkness (Darkness, #1)",Frank E. Peretti,4.24,"107,754"
Before I Go to Sleep,S.J. Watson,3.90,"339,964"
"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,4.00,"162,812"
The Illustrated Man,Ray Bradbury,4.13,"98,547"
milk and honey,Rupi Kaur,3.98,"729,935"
"Blue Moon (The Immortals, #2)",Alyson Noel,3.61,"96,872"
"Anne of the Island (Anne of Green Gables, #3)",L.M. Montgomery,4.27,"174,114"
"Matching Configurations (Quantum Roots, #3)",Kyle Keyes,4.30,"6,892"
"The Dragon Reborn (The Wheel of Time, #3)",Robert Jordan,4.27,"290,915"
The Red and the Black,Stendhal,3.87,"75,226"
Year of Wonders,Geraldine Brooks,4.01,"162,672"
"The Way of Shadows (Night Angel, #1)",Brent Weeks,4.15,"168,516"
"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha    Shannon,4.20,"204,253"
Quo Vadis,Henryk Sienkiewicz,4.01,"37,995"
"Skagboys (Mark Renton, #1)",Irvine Welsh,4.05,"16,354"
Mother Night,Kurt Vonnegut Jr.,4.23,"95,079"
"Stones from the River (Burgdorf Cycle, #1)",Ursula Hegi,4.09,"95,440"
City of Thieves,David Benioff,4.29,"150,246"
"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,4.07,"302,232"
Reminders of Him,Colleen Hoover,4.38,"1,209,585"
"The Celestine Prophecy (Celestine Prophecy, #1)",James Redfield,3.71,"114,476"
The Rescue,Nicholas Sparks,4.12,"202,696"
"Magic Bites (Kate Daniels, #1)",Ilona Andrews,4.06,"125,909"
November 9,Colleen Hoover,4.14,"1,086,996"
The Raven and Other Poems,Edgar Allan Poe,4.30,"45,040"
"Switched (Trylle, #1)",Amanda Hocking,3.87,"99,971"
"The Time Quartet Box Set (Time Quartet, #1-4)",Madeleine L'Engle,4.35,"11,214"
Cujo,Stephen King,3.78,"286,245"
"A Dirty Job (Grim Reaper, #1)",Christopher Moore,4.03,"118,996"
"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",Abbi Glines,4.15,"172,329"
I'm Just Saying: The Art of Civil Discourse: A Guide to Maintaining Courteous Communication in an Increasingly Divided World,Milan Kordestani,4.27,"7,383"
"The Dream Thieves (The Raven Cycle, #2)",Maggie Stiefvater,4.22,"201,401"
"Naked in Death (In Death, #1)",J.D. Robb,4.13,"193,101"
"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,4.02,"80,253"
The Selfish Gene,Richard Dawkins,4.15,"178,669"
The Alchemy Fire Murder: a Mary Wandwalker Mystery,Susan  Rowland,4.30,"8,371"
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney,3.98,"696,368"
The Tale of Genji,Murasaki Shikibu,3.73,"13,389"
A Gentleman in Moscow,Amor Towles,4.33,"547,479"
"Inkspell (Inkworld, #2)",Cornelia Funke,3.94,"127,634"
The Decameron,Giovanni Boccaccio,3.88,"40,096"
Weaveworld,Clive Barker,4.13,"32,378"
Black Fire,William Kely McClung,4.30,"5,481"
Harriet the Spy,Louise Fitzhugh,3.95,"99,463"
"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael Scott,3.86,"160,299"
طفيليات,أحمد جمال الدين رمضان,4.57,660
Hearts in Atlantis,Stephen King,3.85,"96,069"
On the Jellicoe Road,Melina Marchetta,4.12,"50,516"
"Fifty Shades Trilogy (Fifty Shades, #1-3)",E.L. James,4.11,"127,428"
"Destined for an Early Grave (Night Huntress, #4)",Jeaniene Frost,4.32,"85,204"
Kindred,Octavia E. Butler,4.30,"219,379"
مصرائيل,أحمد جمال الدين رمضان,4.73,658
"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,3.89,"123,930"
مشاغب,أحمد جمال الدين رمضان,4.57,659
"The Archon of Peace (Sovereign, #1)",Juddy Anderson C. Punzalan,4.56,370
Hawaii,James A. Michener,4.21,"78,760"
The Satanic Verses,Salman Rushdie,3.71,"65,853"
"The Evolution of Mara Dyer (Mara Dyer, #2)",Michelle Hodkin,4.25,"98,749"
The Choice,Nicholas Sparks,4.01,"184,424"
"The Complete Anne of Green Gables (Anne of Green Gables, #1-8)",L.M. Montgomery,4.45,"105,159"
Nights in Rodanthe,Nicholas Sparks,3.85,"172,724"
Five Feet Apart,Rachael Lippincott,4.18,"225,730"
"Garden Spells (Waverley Family, #1)",Sarah Addison Allen,4.07,"101,012"
Batman: The Dark Knight Returns,Frank Miller,4.26,"187,130"
"The Beekeeper's Apprentice (Mary Russell and Sherlock Holmes, #1)",Laurie R. King,4.05,"83,162"
"The Poppy War (The Poppy War, #1)",R.F. Kuang,4.17,"264,300"
"The Gormenghast Novels (Gormenghast, #1-3)",Mervyn Peake,4.02,"9,443"
Big Little Lies,Liane Moriarty,4.31,"1,008,844"
Mere Christianity,C.S. Lewis,4.35,"414,507"
Games of Command,Linnea Sinclair,4.03,"3,407"
Exotic Neurotic,Kenneth Jarrett Singleton,3.70,"2,300"
"Counter Identity (Remmich/Miller, #2)",Karl Braungart,4.30,"6,191"
The End of the Affair,Graham Greene,3.90,"64,690"
The Quiet American,Graham Greene,3.97,"63,471"
Dark Voyage Matters of the Mind (The Children of the Gods #78),I.T. Lucas,4.55,"2,337"
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.15,"201,136"
Hopscotch,Julio Cortázar,4.21,"42,981"
"Starcrossed (Starcrossed, #1)",Josephine Angelini,4.05,"73,243"
The Silver Linings Playbook,Matthew Quick,3.98,"159,050"
"The Winter King (The Warlord Chronicles, #1)",Bernard Cornwell,4.26,"49,071"
"The Deal (Off-Campus, #1)",Elle Kennedy,4.24,"727,394"
Burned Out,Dean Mafako,4.30,"5,563"
The Complete Fairy Tales,Hans Christian Andersen,4.29,"107,087"
"Night World, No. 2 (Night World, #4-6)",L.J. Smith,4.20,"59,248"
Where the Sidewalk Ends,Shel Silverstein,4.34,"1,406,103"
White Teeth,Zadie Smith,3.79,"157,898"
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,3.95,"761,866"
"Sweet Evil (Sweet, #1)",Wendy Higgins,4.08,"77,024"
Haunted,Chuck Palahniuk,3.60,"104,479"
The Red Badge of Courage,Stephen Crane,3.29,"104,472"
Dolores Claiborne,Stephen King,3.92,"153,809"
"Losing Hope (Hopeless, #2)",Colleen Hoover,4.15,"223,127"
"Ral's Woman (Zorn Warriors, #1)",Laurann Dohner,3.82,"14,401"
The Glass Bead Game,Hermann Hesse,4.10,"38,765"
"The School for Good and Evil (The School for Good and Evil, #1)",Soman Chainani,3.99,"119,329"
Black Like Me,John Howard Griffin,4.11,"68,026"
"Ice Planet Barbarians (Ice Planet Barbarians, #1)",Ruby Dixon,3.65,"141,042"
The Accidental Tourist,Anne Tyler,3.90,"104,953"
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,4.15,"577,279"
Memoirs of Hadrian,Marguerite Yourcenar,4.23,"29,813"
The Death of Ivan Ilych,Leo Tolstoy,4.13,"165,067"
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.16,"187,096"
The Four Agreements,Miguel Ruiz,4.19,"401,847"
"These Violent Delights (These Violent Delights, #1)",Chloe Gong,3.84,"144,640"
"Wait for You (Wait for You, #1)",J. Lynn,4.14,"164,111"
Rant: An Oral Biography of Buster Casey,Chuck Palahniuk,3.84,"67,239"
"Inkdeath (Inkworld, #3)",Cornelia Funke,3.97,"87,679"
"Claimed (Brides of the Kindred, #1)",Evangeline Anderson,3.78,"20,168"
Brainwalker,Robyn Mundell,4.32,"9,611"
"Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy, #1)",John le Carré,4.06,"94,782"
Hiroshima,John Hersey,4.03,"80,579"
"Elantris (Elantris, #1)",Brandon Sanderson,4.18,"272,339"
"Stolen (Stolen, #1)",Lucy Christopher,3.89,"83,008"
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.00,"815,424"
Bastard Out of Carolina,Dorothy Allison,4.13,"44,703"
"Effortless (Thoughtless, #2)",S.C. Stephens,4.35,"115,873"
The Day of the Jackal,Frederick Forsyth,4.27,"134,397"
"Love, Rosie",Cecelia Ahern,3.94,"132,255"
If You Give a Mouse a Cookie,Laura Joffe Numeroff,4.28,"297,828"
"The Wishing Spell (The Land of Stories, #1)",Chris Colfer,4.25,"142,099"
Boy's Life,Robert McCammon,4.39,"35,119"
"An Echo in the Bone (Outlander, #7)",Diana Gabaldon,4.44,"153,081"
Metamorphoses,Ovid,4.09,"71,443"
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,4.44,"132,661"
Station Eleven,Emily St. John Mandel,4.07,"520,184"
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,4.09,"340,985"
"Perdido Street Station (New Crobuzon, #1)",China Miéville,3.98,"70,076"
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.49,"1,022,978"
Old Yeller,Fred Gipson,4.10,"98,258"
Zorba the Greek,Nikos Kazantzakis,4.05,"51,668"
"Cross My Heart and Hope to Spy (Gallagher Girls, #2)",Ally Carter,4.13,"90,883"
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.06,"799,048"
The Sky Is Everywhere,Jandy Nelson,3.96,"106,127"
The Great Alone,Kristin Hannah,4.42,"792,700"
"Reaper Man (Discworld, #11; Death, #2)",Terry Pratchett,4.28,"102,177"
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,4.53,"211,726"
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.03,"321,889"
"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,3.83,"685,859"
Imajica,Clive Barker,4.17,"23,238"
The Sacred Well Murders,Susan  Rowland,4.30,"5,750"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,4.24,"184,754"
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.15,"367,897"
The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib,4.40,"7,678"
"Trials of Conviction (The Firebird Chronicles, #5)",T.A. White,4.54,"3,187"
"The Waste Lands (The Dark Tower, #3)",Stephen King,4.25,"223,315"
Ragtime,E.L. Doctorow,3.89,"43,821"
Villette,Charlotte Brontë,3.77,"73,303"
"Love is the Answer, God is the Cure: A True Story of Abuse, Betrayal and Unconditional Love",Aimee Cabo Nikolov,4.30,"17,252"
"Noughts & Crosses (Noughts & Crosses, #1)",Malorie Blackman,4.19,"74,205"
The Miraculous Journey of Edward Tulane,Kate DiCamillo,4.38,"109,741"
"The Serpent's Shadow (The Kane Chronicles, #3)",Rick Riordan,4.28,"163,650"
"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi,3.99,"114,187"
1984,George Orwell,4.19,"4,617,941"
"Gilead (Gilead, #1)",Marilynne Robinson,3.85,"110,677"
"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,4.14,"354,997"
"Three Men in a Boat (Three Men, #1)",Jerome K. Jerome,3.84,"72,821"
The French Lieutenant’s Woman,John Fowles,3.88,"53,017"
"The Princess Diaries (The Princess Diaries, #1)",Meg Cabot,3.80,"254,674"
Demons,Fyodor Dostoevsky,4.30,"52,259"
El Diablo,M.  Robinson,3.98,"12,998"
"Skulduggery Pleasant (Skulduggery Pleasant, #1)",Derek Landy,4.18,"66,871"
The Book of Disquiet: The Complete Edition,Fernando Pessoa,4.41,"30,856"
Who Moved My Cheese?,Spencer Johnson,3.86,"473,266"
The Virgins of Venice,Gina Buonaguro,4.26,"5,738"
The Thief Lord,Cornelia Funke,3.98,"97,765"
Just So Stories,Rudyard Kipling,4.06,"48,169"
The Blue Castle,L.M. Montgomery,4.30,"44,436"
"Beautiful Darkness (Caster Chronicles, #2)",Kami Garcia,3.83,"137,096"
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,3.82,"277,712"
"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,4.16,"90,029"
"The Sandman, Vol. 1: Preludes & Nocturnes",Neil Gaiman,4.25,"264,752"
"Born at Midnight (Shadow Falls, #1)",C.C. Hunter,4.10,"92,123"
Making Faces,Amy Harmon,4.30,"75,421"
The Diving Bell and the Butterfly,Jean-Dominique Bauby,3.98,"72,479"
Ham on Rye,Charles Bukowski,4.14,"106,374"
Tell No One,Harlan Coben,4.08,"162,247"
Cat’s Eye,Margaret Atwood,3.94,"68,407"
"Halo (Halo, #1)",Alexandra Adornetto,3.66,"69,251"
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.08,"436,438"
"The Immortal Rules (Blood of Eden, #1)",Julie Kagawa,4.07,"70,667"
What Is the What,Dave Eggers,4.14,"84,828"
I Am Legend,Richard Matheson,4.06,"132,486"
"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",Rick Riordan,4.24,"215,250"
Dead Souls,Nikolai Gogol,3.98,"85,263"
"Max (Maximum Ride, #5)",James Patterson,4.06,"74,298"
Magenta,John Payton Foden,4.26,"5,079"
The White Tiger,Aravind Adiga,3.76,"191,940"
"Desert Outcast (Sovereign, #0.5)",Juddy Anderson C. Punzalan,4.60,301
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 1,Mò Xiāng Tóng Xiù,4.64,"26,861"
"River God (Ancient Egypt, #1)",Wilbur Smith,4.22,"40,775"
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,3.73,"21,812"
"Rich Dad, Poor Dad",Robert T. Kiyosaki,4.12,"622,168"
Malibu Rising,Taylor Jenkins Reid,4.04,"1,025,936"
An Accidental Goddess,Linnea Sinclair,4.02,"3,784"
An American Tragedy,Theodore Dreiser,3.96,"36,895"
"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,4.28,"234,142"
"Old Man's War (Old Man's War, #1)",John Scalzi,4.24,"197,472"
"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,4.08,"92,106"
"Rapture (Fallen, #4)",Lauren Kate,3.99,"119,091"
"If Tomorrow Comes (Tracy Whitney, #1)",Sidney Sheldon,4.07,"67,657"
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,4.21,"134,023"
"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,4.26,"318,816"
From Manchester to the Arctic,Sheena  Billett,4.31,"6,072"
The Art of Happiness,Dalai Lama XIV,4.17,"117,024"
"The Burning God (The Poppy War, #3)",R.F. Kuang,4.31,"88,479"
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,4.43,"126,494"
The Epic of Gilgamesh,Anonymous,3.71,"94,776"
"The Forever War (The Forever War, #1)",Joe Haldeman,4.14,"166,667"
"Monsters of Men (Chaos Walking, #3)",Patrick Ness,4.22,"86,079"
"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,3.88,"581,918"
"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,3.82,"610,096"
"Ink Exchange (Wicked Lovely, #2)",Melissa Marr,3.69,"62,455"
Punk 57,Penelope Douglas,3.78,"418,852"
Think and Grow Rich,Napoleon Hill,4.18,"330,936"
"Extras (Uglies, #4)",Scott Westerfeld,3.60,"119,562"
Fantastic Beasts and Where to Find Them,Newt Scamander,3.96,"401,056"
"The Hawthorne Legacy (The Inheritance Games, #2)",Jennifer Lynn Barnes,4.22,"418,206"
"The Book of Lost Things (The Book of Lost Things, #1)",John Connolly,3.96,"80,145"
Darkness at Noon,Arthur Koestler,4.11,"30,712"
"Being a Witch, and Other Things I Didn't Ask for",Sara Pascoe,4.29,"5,107"
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.48,"1,579,259"
"Cheaper by the Dozen (Cheaper by the Dozen, #1)",Frank B. Gilbreth Jr.,3.99,"43,134"
Labyrinths: Selected Stories & Other Writings,Jorge Luis Borges,4.45,"31,754"
"Hollow City (Miss Peregrine's Peculiar Children, #2)",Ransom Riggs,4.06,"239,052"
"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,4.39,"110,166"
"Don't Judge a Girl by Her Cover (Gallagher Girls, #3)",Ally Carter,4.20,"71,963"
"Iron Kissed (Mercy Thompson, #3)",Patricia Briggs,4.34,"124,582"
The Children of Húrin,J.R.R. Tolkien,4.03,"83,840"
"Glass Sword (Red Queen, #2)",Victoria Aveyard,3.80,"361,082"
Christine,Stephen King,3.84,"242,518"
"The Sword of Shannara (The Original Shannara Trilogy, #1)",Terry Brooks,3.76,"96,755"
Aesop’s Fables,Aesop,4.05,"125,743"
The Winter of Our Discontent,John Steinbeck,4.00,"48,146"
Long Walk to Freedom,Nelson Mandela,4.35,"87,092"
"The Fury / Dark Reunion (The Vampire Diaries, #3-4)",L.J. Smith,3.72,"60,959"
Loveless,Alice Oseman,4.21,"101,531"
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,3.99,"524,071"
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,4.12,"166,499"
"Polaris Rising (Consortium Rebellion, #1)",Jessie Mihalik,3.92,"13,466"
"Dark Horse (Class 5, #1)",Michelle Diener,4.09,"8,276"
Can You Keep a Secret?,Sophie Kinsella,3.84,"440,803"
Just Kids,Patti Smith,4.21,"282,150"
Fathers and Sons,Ivan Turgenev,3.99,"89,762"
"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor,4.14,"163,841"
This is How You Lose the Time War,Amal El-Mohtar,3.91,"209,201"
Flipped,Wendelin Van Draanen,3.98,"117,591"
Freedom,Jonathan Franzen,3.78,"168,614"
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,3.90,"157,475"
The Moonstone,Wilkie Collins,3.91,"93,268"
The Sun Is Also a Star,Nicola Yoon,3.97,"329,828"
People of the Book,Geraldine Brooks,4.03,"146,193"
"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,4.27,"201,648"
"The Warded Man (The Demon Cycle, #1)",Peter V. Brett,4.25,"123,929"
Down and Out in Paris and London,George Orwell,4.09,"88,211"
China Blues,Ki Longfellow,4.15,"1,590"
Paradox Effect: Time Travel and Purified DNA Merge to Halt the Collapse of Human Existence,Gabriel F.W. Koch,4.33,"10,197"
After Dark,Haruki Murakami,3.74,"163,564"
"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,3.89,"582,850"
"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)",Terry Pratchett,4.29,"111,947"
Martin Eden,Jack London,4.47,"43,271"
The Dharma Bums,Jack Kerouac,3.93,"94,709"
Three Comrades,Erich Maria Remarque,4.48,"34,733"
"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,4.61,"380,464"
"Tiger's Voyage (The Tiger Saga, #3)",Colleen Houck,4.27,"36,809"
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.20,"179,882"
Bird by Bird,Anne Lamott,4.24,"101,695"
Crash,J.G. Ballard,3.59,"25,827"
The Prime of Miss Jean Brodie,Muriel Spark,3.71,"54,909"
"Life As We Knew It (Last Survivors, #1)",Susan Beth Pfeffer,3.88,"128,527"
"Pawn of Prophecy (The Belgariad, #1)",David Eddings,4.16,"106,108"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.36,"880,403"
"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,4.26,"209,026"
Pope Joan,Donna Woolfolk Cross,4.09,"71,577"
Pachinko,Min Jin Lee,4.33,"474,348"
The Eyes of the Dragon,Stephen King,3.94,"129,664"
Centennial,James A. Michener,4.25,"43,212"
"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,4.62,"246,872"
"All Things Bright and Beautiful (All Creatures Great and Small, #3-4)",James Herriot,4.34,"79,385"
Pedro Páramo,Juan Rulfo,4.05,"70,908"
A Good Man Is Hard to Find and Other Stories,Flannery O'Connor,4.17,"45,933"
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.29,"73,654"
"My Brilliant Friend (The Neapolitan Novels, #1)",Elena Ferrante,4.04,"334,608"
Salt to the Sea,Ruta Sepetys,4.36,"212,922"
"The Dead Girls' Dance (The Morganville Vampires, #2)",Rachel Caine,4.04,"58,552"
"The Surgeon (Rizzoli & Isles, #1)",Tess Gerritsen,4.10,"162,139"
"Burned (Burned, #1)",Ellen Hopkins,4.25,"66,700"
The New York Trilogy (New York Trilogy #1-3),Paul Auster,3.87,"74,944"
Contact,Carl Sagan,4.15,"142,957"
"Impulse (Impulse, #1)",Ellen Hopkins,4.26,"78,777"
The Raven,Edgar Allan Poe,4.29,"146,975"
"Legendary (Caraval, #2)",Stephanie Garber,4.16,"259,780"
The Storyteller,Jodi Picoult,4.30,"228,633"
The Painted Bird,Jerzy Kosiński,3.91,"26,486"
"A Voice in the Wind (Mark of the Lion, #1)",Francine Rivers,4.57,"95,235"
Killing Floor (Jack Reacher #1),Lee Child,4.08,"319,542"
Survival in Auschwitz,Primo Levi,4.33,"75,387"
"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,3.90,"210,833"
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4.02,"557,401"
The Traitor's Emblem,Juan Gómez-Jurado,3.85,"3,775"
"Beartown (Beartown, #1)",Fredrik Backman,4.29,"442,626"
The Book of Negroes,Lawrence Hill,4.46,"86,912"
Unparalleled,D.S.   Smith,4.13,"4,802"
"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,3.99,"125,254"
Piranesi,Susanna Clarke,4.23,"284,184"
Lullaby,Chuck Palahniuk,3.74,"99,125"
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,4.30,"938,686"
Girl in Pieces,Kathleen Glasgow,3.98,"190,244"
"Hunt the Stars (Starlight's Shadow, #1)",Jessie Mihalik,4.03,"9,917"
"The Blue Sword (Damar, #1)",Robin McKinley,4.21,"60,963"
The Mayor of Casterbridge,Thomas Hardy,3.86,"62,534"
"Real (Real, #1)",Katy Evans,4.12,"112,728"
"Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,4.18,"139,963"
"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,4.05,"121,830"
Wintergirls,Laurie Halse Anderson,3.96,"120,862"
Power And Prediction: The Disruptive Economics of Artificial Intelligence,Ajay Agrawal,4.25,"6,431"
"Need (Need, #1)",Carrie Jones,3.72,"63,449"
The Awakening: Fate in Motion,Suzanne Boisvert,4.22,"1,096"
U.S. Constitution (Saddlewire) (Books of American Wisdom),Founding Fathers,4.51,"26,924"
As You Like It,William Shakespeare,3.81,"83,473"
The Scorpio Races,Maggie Stiefvater,4.09,"109,524"
"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,4.42,"161,097"
The Light Between Oceans,M.L. Stedman,4.04,"458,729"
"Gabriel's Rapture (Gabriel's Inferno, #2)",Sylvain Reynard,4.20,"114,558"
"Kissed by an Angel/The Power of Love/Soulmates (Kissed by an Angel, #1-3)",Elizabeth Chandler,4.08,"26,865"
"The Ask and the Answer (Chaos Walking, #2)",Patrick Ness,4.18,"96,482"
Even Cowgirls Get the Blues,Tom Robbins,3.78,"54,893"
The Invisible Man,H.G. Wells,3.64,"194,173"
Born a Crime: Stories From a South African Childhood,Trevor Noah,4.49,"696,500"
"The Cheat Code (Wisdom Revolution, #3)",Misba,4.58,"2,592"
Midwives,Chris Bohjalian,3.99,"159,850"
"The Manufactured Identity (Manufactured Identity, #1)",Heath Sommer,3.54,435
The Casual Vacancy,J.K. Rowling,3.30,"329,122"
"Wallbanger (Cocktail, #1)",Alice Clayton,3.99,"207,820"
"A Storm of Swords 2: Blood and Gold (A Song of Ice and Fire, #3, Part 2 of 2)",George R.R. Martin,4.55,"97,148"
Americanah,Chimamanda Ngozi Adichie,4.32,"372,058"
"Executive Orders (Jack Ryan, #8)",Tom Clancy,4.11,"50,862"
The Third Policeman,Flann O'Brien,3.98,"20,456"
"Renegades (Renegades, #1)",Marissa Meyer,4.13,"142,515"
"Crossed (Matched, #2)",Ally Condie,3.52,"246,406"
"Royal Assassin (Farseer Trilogy, #2)",Robin Hobb,4.26,"199,218"
