bookTitle,authorName,average_rating,num_ratings
Siddhartha,Hermann Hesse,4.07,"773,473"
"The Shining (The Shining, #1)",Stephen King,4.27,"1,493,711"
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.14,"630,076"
The Complete Stories and Poems,Edgar Allan Poe,4.39,"250,024"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,"590,447"
Don Quixote,Miguel de Cervantes Saavedra,3.90,"271,725"
The Poisonwood Bible,Barbara Kingsolver,4.10,"745,052"
The Old Man and the Sea,Ernest Hemingway,3.80,"1,152,183"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,"3,707,537"
Atlas Shrugged,Ayn Rand,3.69,"390,575"
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.15,"1,694,921"
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.36,"328,026"
Fahrenheit 451,Ray Bradbury,3.97,"2,425,374"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,"3,284,200"
"Moby-Dick or, The Whale",Herman Melville,3.54,"562,055"
A Prayer for Owen Meany,John Irving,4.24,"321,317"
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,"831,624"
The Stranger,Albert Camus,4.02,"1,100,599"
The Secret Life of Bees,Sue Monk Kidd,4.09,"1,293,058"
The Red Tent,Anita Diamant,4.20,"599,711"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,"3,941,661"
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,"964,820"
The Master and Margarita,Mikhail Bulgakov,4.29,"354,937"
The Metamorphosis,Franz Kafka,3.86,"1,064,446"
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.29,"3,987,562"
Middlesex,Jeffrey Eugenides,4.03,"639,740"
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.95,"1,781,347"
Looking for Alaska,John Green,3.97,"1,603,155"
The Adventures of Tom Sawyer,Mark Twain,3.92,"938,188"
The Count of Monte Cristo,Alexandre Dumas,4.30,"915,890"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,"853,123"
The Very Hungry Caterpillar,Eric Carle,4.33,"511,423"
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,"1,007,524"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"1,481,776"
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.30,"637,611"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,"2,806,238"
Tuesdays with Morrie,Mitch Albom,4.17,"1,030,817"
The Unbearable Lightness of Being,Milan Kundera,4.11,"471,369"
On the Road,Jack Kerouac,3.61,"412,015"
The Name of the Rose,Umberto Eco,4.14,"365,440"
Where the Red Fern Grows,Wilson Rawls,4.11,"407,633"
"The Godfather (The Godfather, #1)",Mario Puzo,4.39,"421,562"
"Holes (Holes, #1)",Louis Sachar,4.00,"1,203,371"
In Cold Blood,Truman Capote,4.09,"661,168"
Perfume: The Story of a Murderer,Patrick Süskind,4.04,"470,351"
The Scarlet Letter,Nathaniel Hawthorne,3.43,"866,604"
Fight Club,Chuck Palahniuk,4.19,"593,041"
The Five People You Meet in Heaven,Mitch Albom,3.99,"722,012"
American Gods,Neil Gaiman,4.11,"934,146"
The Divine Comedy,Dante Alighieri,4.08,"153,115"
Watchmen,Alan Moore,4.38,"559,022"
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.19,"541,971"
A Story of Yesterday,Sergio Cobo,4.60,"13,087"
All Quiet on the Western Front,Erich Maria Remarque,4.07,"461,416"
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.93,"705,820"
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.35,"153,120"
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.53,"191,659"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.26,"751,195"
